trumpet,"kèn trumpet","danh từ","The trumpet player hit the high notes perfectly."
choir director,"đạo diễn dàn hợp xướng","danh từ","The choir director led the singers flawlessly."
melodic,"giai điệu êm dịu","tính từ","The song is very melodic and easy to remember."
harmony,"hòa âm","danh từ","The singers sang in perfect harmony."
acoustic,"nhạc acoustic","tính từ","He prefers acoustic guitar over electric."
electric guitar,"đàn guitar điện","danh từ","The electric guitar riff made the crowd go wild."
percussion,"nhạc cụ gõ","danh từ","Percussion instruments included drums and cymbals."
sheet music,"bản nhạc","danh từ","The pianist studied the sheet music carefully."
vocalist,"ca sĩ chính","danh từ","The vocalist delivered a powerful performance."
improvisation,"ngẫu hứng","danh từ","Jazz often includes improvisation during performances."
choir member,"thành viên dàn hợp xướng","danh từ","Each choir member practiced their part diligently."
solo,"độc tấu","danh từ","He played a beautiful piano solo."
ensemble,"dàn nhạc nhỏ","danh từ","The string ensemble performed a lovely piece."
chorus,"đoạn điệp khúc","danh từ","The chorus repeats several times in the song."
tempo,"nhịp độ","danh từ","The tempo of the song gradually increased."
dynamics,"cường độ âm nhạc","danh từ","The dynamics changed from soft to loud within a few seconds."
remix,"phiên bản phối lại","danh từ","The DJ played a remix of a popular hit."
recording,"bản ghi âm","danh từ","The recording captured every detail of the live performance."
hello,"xin chào","thán từ","Hello! How are you today?"
hi,"chào","thán từ","Hi! Long time no see."
good morning,"chào buổi sáng","cụm từ","Good morning! Did you sleep well?"
good afternoon,"chào buổi chiều","cụm từ","Good afternoon! How was your lunch?"
good evening,"chào buổi tối","cụm từ","Good evening! Are you free tonight?"
good night,"chúc ngủ ngon","cụm từ","Good night! Sweet dreams."
hey,"này","thán từ","Hey! Wait for me!"
how are you,"bạn khỏe không","cụm từ","How are you? You look happy today."
what's up,"có chuyện gì vậy","cụm từ","What's up? Did something happen at work?"
long time no see,"lâu rồi không gặp","cụm từ","Long time no see! You look great."
pleased to meet you,"rất vui được gặp bạn","cụm từ","Pleased to meet you! I'm John."
nice to meet you,"rất vui được gặp bạn","cụm từ","Nice to meet you! Welcome to our office."
how do you do,"rất hân hạnh","cụm từ","How do you do? I am Jane."
greetings,"lời chào","danh từ","He sent his greetings to the family."
welcome,"chào mừng","động từ","Welcome! Come in and have a seat."
it's a pleasure,"rất hân hạnh","cụm từ","It's a pleasure to meet you at last."
how's it going,"dạo này thế nào","cụm từ","How's it going? Everything okay?"
hiya,"chào bạn","thán từ","Hiya! Are you joining us today?"
morning,"buổi sáng","danh từ","Morning! Ready for the meeting?"
evening,"buổi tối","danh từ","Evening! Did you enjoy your day?"
take care,"chúc bạn mọi điều tốt đẹp","cụm từ","Take care! See you tomorrow."
